Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2013,2013,Export,USA,Morocco,Beer made from malt,2203,493492
2013,2013,Export,USA,Oman,Beer made from malt,2203,502906
2013,2013,Export,USA,Nauru,Beer made from malt,2203,40500
2013,2013,Export,USA,Netherlands,Beer made from malt,2203,1306580
2013,2013,Export,USA,Curaçao,Beer made from malt,2203,426477
2013,2013,Export,USA,Aruba,Beer made from malt,2203,1625370
2013,2013,Export,USA,Saint Maarten,Beer made from malt,2203,2071160
2013,2013,Export,USA,Vanuatu,Beer made from malt,2203,5310
2013,2013,Export,USA,New Zealand,Beer made from malt,2203,1801837
2013,2013,Export,USA,Nicaragua,Beer made from malt,2203,3175
2013,2013,Export,USA,Niger,Beer made from malt,2203,10192
2013,2013,Export,USA,Nigeria,Beer made from malt,2203,15106
2013,2013,Export,USA,Norway,Beer made from malt,2203,1679821
2013,2013,Export,USA,FS Micronesia,Beer made from malt,2203,897252
2013,2013,Export,USA,Marshall Isds,Beer made from malt,2203,165053
2013,2013,Export,USA,Palau,Beer made from malt,2203,1200311
2013,2013,Export,USA,Pakistan,Beer made from malt,2203,141041
2013,2013,Export,USA,Panama,Beer made from malt,2203,20447792
2013,2013,Export,USA,Paraguay,Beer made from malt,2203,30269991
2013,2013,Export,USA,Peru,Beer made from malt,2203,745014
2013,2013,Export,USA,Philippines,Beer made from malt,2203,436172
2013,2013,Export,USA,Qatar,Beer made from malt,2203,212996
2013,2013,Export,USA,Russian Federation,Beer made from malt,2203,60000
2013,2013,Export,USA,Anguilla,Beer made from malt,2203,115552
2013,2013,Export,USA,Saint Lucia,Beer made from malt,2203,42341
2013,2013,Export,USA,Saint Vincent and the Grenadines,Beer made from malt,2203,83979
2013,2013,Export,USA,Sao Tome and Principe,Beer made from malt,2203,120000
2013,2013,Export,USA,Sierra Leone,Beer made from malt,2203,14735
2013,2013,Export,USA,India,Beer made from malt,2203,35178
