Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,724,Spain,ESP,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1019788,,1019788,,1221415,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,740,Suriname,SUR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,14016,,14016,,147769,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,752,Sweden,SWE,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13938141,,13938141,,21763804,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,757,Switzerland,CHE,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,230936,,230936,,438559,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,764,Thailand,THA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,381792,,381792,,1001692,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,780,Trinidad and Tobago,TTO,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2725558,,2725558,,1894332,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4249140,,4249140,,7163735,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,788,Tunisia,TUN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,11571,,11571,,4638,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,793582,,793582,,1285276,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,796,Turks and Caicos Isds,TCA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,873705,,873705,,1285788,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,804,Ukraine,UKR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,12078,,12078,,10570,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,25372885,,25372885,,37812549,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,858,Uruguay,URY,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2074651,,2074651,,3019538,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,862,Venezuela,VEN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3085,,3085,,2700,,,0
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,497572089,,497572089,,520473505,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,9139,,9139,,7998,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,15816269,,15816269,,14988972,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,46485,,46485,,40680,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2518333,,2518333,,2934890,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,48,Bahrain,BHR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,352405,,352405,,334952,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,50,Bangladesh,BGD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,33466,,33466,,76364,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,52,Barbados,BRB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,64095,,64095,,67492,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,127940,,127940,,124441,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,60,Bermuda,BMU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1052498,,1052498,,1192984,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,19018,,19018,,28297,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1416074,,1416074,,1836064,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,84,Belize,BLZ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,391152,,391152,,258367,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,90,Solomon Isds,SLB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,72969,,72969,,43355,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,92,Br. Virgin Isds,VGB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1663788,,1663788,,1109669,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,104,Myanmar,MMR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1874,,1874,,4175,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,116,Cambodia,KHM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,333104,,333104,,365419,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,88926043,,88926043,,163694585,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,136,Cayman Isds,CYM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1580733,,1580733,,1534449,,,4
